UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100110606518W500,100/11-06-065-18W5/00,0030802,1205 \ NOTIKEWIN,AGAT LABORATORIES LTD.,1386.5,1390.2,Y,,,,,,0.0,0.0048,0.0132,0.0001,0.0004,0.9162,0.0379,0.0165,0.0031,0.0035,0.0014,0.001,0.0011,0.0008,,,,,0.618,,,,,,,AB,1999-07-08
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,Test Meter Run,428.0,12.0,374.0,22.0,0.0,0.0056,0.0143,0.0001,0.0004,0.91,0.0378,0.0166,0.0031,0.0039,0.0016,0.0012,0.0016,0.0038,,,,,0.63,18.3,,41.05,4582.1,201.8,101.5,AB,2004-08-16
100110606518W500,100/11-06-065-18W5/00,0030802,Notikewin,Core Laboratories,1386.5,1390.2,N,,,,,,0.0,0.0054,0.0132,0.0001,0.0004,0.9127,0.038,0.0165,0.003,0.0038,0.0015,0.0011,0.0014,0.003,,,,,0.626,,,,,,,AB,2001-05-03
100111905320W500,100/11-19-053-20W5/00,0407490,Cardium,Maxxam Analytics,2303.0,2808.3,N,METER RUN,1400.0,11.0,1075.0,21.0,0.0,0.0097,0.0037,0.0,0.0001,0.8177,0.0889,0.0453,0.0064,0.0143,0.0044,0.0043,0.003,0.0022,,,,,0.712,20.6,,46.37,4591.8,218.6,95.0,AB,2009-05-20
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0114,0.0042,0.0001,0.0001,0.7954,0.0972,0.0561,0.0083,0.0173,0.0043,0.004,0.0007,0.001,,,,,0.726,,,,,,,AB,2000-07-05
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0108,0.0051,0.0001,0.0001,0.7988,0.0968,0.0546,0.0075,0.0163,0.0036,0.0033,0.0018,0.0013,,,,,0.723,,,,,,,AB,2000-07-05
100112205519W500,100/11-22-055-19W5/00,0124020,Cardium,Core Laboratories,1971.0,1975.0,N,,,,,,0.0,0.0218,0.0028,0.0,0.0001,0.7712,0.1107,0.0627,0.0089,0.0162,0.0027,0.0015,0.0005,0.0009,,,,,0.739,,,,,,,AB,2000-07-05
100112305620W500,100/11-23-056-20W5/00,0127375,Cardium,Core Laboratories,2095.0,2114.0,N,Separator Meter Run,225.0,17.0,202.0,22.0,0.0,0.0109,0.0084,0.0,0.0001,0.6378,0.1529,0.1166,0.0133,0.034,0.0074,0.0073,0.0067,0.0046,,,,,0.88,25.5,,55.93,4546.9,248.4,91.5,AB,2007-07-09
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,,,,,,0.0,0.0058,0.011,0.0001,0.0004,0.9138,0.0427,0.0148,0.0026,0.0032,0.0012,0.0009,0.0012,0.0024,,,,,0.621,,,,,,,AB,2004-02-26
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,Test Meter Run,360.0,19.0,322.0,22.0,0.0,0.0057,0.0132,0.0,0.0004,0.9112,0.0418,0.0151,0.0026,0.0033,0.0013,0.0009,0.0012,0.0033,,,,,0.625,18.1,,40.79,4589.3,201.4,99.4,AB,2004-08-14
100120106519W502,100/12-01-065-19W5/02,0024668,Notikewin,Core Laboratories,1424.0,1431.6,N,,,,,,0.0,0.0052,0.0125,0.0001,0.0004,0.9123,0.0424,0.0151,0.0026,0.0033,0.0013,0.0009,0.0012,0.0027,,,,,0.623,,,,,,,AB,2001-05-03
100120605319W500,100/12-06-053-19W5/00,0377772,Cardium,Core Laboratories,2305.5,2325.0,N,Meter Run,207.0,5.0,208.0,22.0,0.0,0.0049,0.0087,0.0001,0.0001,0.7522,0.1104,0.0668,0.0094,0.0248,0.0067,0.0069,0.005,0.004,,,,,0.779,22.6,,50.17,4551.0,229.8,92.6,AB,2007-09-21
100121906419W500,100/12-19-064-19W5/00,0158358,Notikewin,Core Laboratories,1467.5,1486.5,N,,,,,,0.0,0.0036,0.0164,0.0057,0.0003,0.905,0.0429,0.0154,0.0027,0.0033,0.0012,0.0008,0.0009,0.0018,,,,,0.617,,,,,,,AB,2004-02-27
